0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
163,"Abacate, cru","83,8",96,402,"1,2","8,4",,"6,0","6,3","0,5",8,15,,,,,
71,"Abobrinha, italiana, crua","93,9",19,81,"1,1","0,1",,"4,3","1,4","0,6",15,20,,,,,
74,"Acelga, crua","93,2",21,88,"1,4","0,1",,"4,6","1,1","0,6",43,10,,,,,
77,"Alface, americana, crua","97,2",9,37,"0,6","0,1",,"1,7","1,0","0,3",14,6,,,,,
82,"Alho, cru","67,5",113,473,"7,0","0,2",,"23,9","4,3","1,3",14,21,,,,,
89,"Batata, doce, crua","69,5",118,495,"1,3","0,1",,"28,2","2,6","0,9",21,17,,,,,
98,"Beterraba, crua","86,0",49,204,"1,9","0,1",,"11,1","3,4","0,9",18,24,,,,,
101,"Brócolis, cru","91,2",25,107,"3,6","0,3",,"4,0","2,9","0,8",86,30,,,,,
107,"Cebola, crua","88,9",39,165,"1,7","0,1",,"8,9","2,2","0,4",14,12,,,,,
108,"Cebolinha, crua","93,9",20,82,"1,9","0,4",,"3,4","3,6","0,5",80,25,,,,,
110,"Cenoura, crua","90,1",34,143,"1,3","0,2",,"7,7","3,2","0,9",23,11,,,,,
113,"Chuchu, cru","94,8",17,71,"0,7","0,1",,"4,1","1,3","0,3",12,7,,,,,
117,"Couve-flor, crua","92,8",23,94,"1,9","0,2",,"4,5","2,4","0,6",18,12,,,,,
115,"Couve, manteiga, crua","90,9",27,113,"2,9","0,5",,"4,3","3,1","1,3",131,35,,,,,
119,"Espinafre,  Nova Zelândia, cru","94,0",16,67,"2,0","0,2",,"2,6","2,1","1,2",98,82,,,,,
197,"Goiaba, branca, com casca, crua","85,7",52,216,"0,9","0,5",,"12,4","6,3","0,5",5,7,,,,,
126,"Inhame, cru","73,3",97,405,"2,1","0,2",,"23,2","1,7","1,2",12,29,,,,,
133,"Manjericão, cru","93,0",21,88,"2,0","0,4",,"3,6","3,3","1,0",211,58,,,,,
232,"Maracujá, cru","82,9",68,286,"2,0","2,1",,"12,3","1,1","0,8",5,28,,,,,
44,"Milho, verde, cru","63,5",138,578,"6,6","0,6",,"28,6","3,9","0,7",2,33,,,,,
239,"Morango, cru","91,5",30,126,"0,9","0,3",,"6,8","1,7","0,5",11,10,,,,,
142,"Pepino, cru","96,8",10,40,"0,9",Tr,,"2,0","1,1","0,3",10,9,,,,,
144,"Pimentão, verde, cru","93,5",21,89,"1,1","0,2",,"4,9","2,6","0,4",9,8,,,,,
150,"Repolho, roxo, cru","90,1",31,129,"1,9","0,1",,"7,2","2,0","0,7",44,18,,,,,
153,"Salsa, crua","88,7",33,140,"3,3","0,6",,"5,7","1,9","1,8",179,21,,,,,
251,"Tangerina, Poncã, crua","89,2",38,158,"0,8","0,1",,"9,6","0,9","0,3",13,8,,,,,
157,"Tomate, com semente, cru","95,1",15,64,"1,1","0,2",,"3,1","1,2","0,5",7,11,,,,,
162,"Vagem, crua","92,2",25,104,"1,8","0,2",,"5,3","2,4","0,5",41,18,,,,,
182,"Banana, prata, crua","71,9",98,411,"1,3","0,1",,"26,0","2,0","0,8",8,26,,,,,
